,title,company,skills
135,استخدام متخصص پردازش تصویر,کافه سلامت,"['OpenCV', 'Image Processing']"
136,استخدام Full-Stack Developer,Arvin Rayan System,"['C#', 'ASP.NET MVC', 'HTML', 'jQuery', 'SQL Server']"
137,استخدام Front-end Developer,Arvin Rayan System,"['jQuery UI', 'Bootstrap 5', 'HTML', 'CSS', 'UI/UX']"
138,استخدام توسعه‌دهنده بازی,جاپکو,"['Game Development', 'Unity2D', 'Unity3D', 'Unreal Engine4', 'Game Maker']"
139,استخدام برنامه‌نویس ++C,افق تجربه موج,"['C++', 'Qt']"
140,استخدام Full-stack Developer,Irapardaz,"['PHP', 'SQL', 'Laravel', 'Database', 'Vue.js']"
141,استخدام Algorithm Developer,حسابا,"['C++', 'Algorithm', 'Python']"
142,استخدام توسعه‌دهنده فرانت اند,داده پردازان توسعه سیستم آکام (داتسا),"['React', 'TypeScript', 'Git', 'Redux', 'Next']"
143,استخدام کارآموز بوت‌کمپ جاوا (Java Spring),مپصا اچ آر,"['Java', 'Spring']"
144,استخدام برنامه‌نویس C# unity 3d,Inex,"['Unity3D', 'C#']"
145,استخدام توسعه‌دهنده ارشد پایتون,داده گستر پارمیس,"['Python', 'Elasticsearch', 'MySQL', 'Django', 'Flask']"
146,استخدام برنامه‌نویس C++,مجموعه پژوهشی آراد,"['C++', 'Qt', 'JavaScript', 'C', 'Linux']"
147,استخدام DevOps Engineer,گروه شرکت‌های حصین,"['DevOps', 'Docker', 'Ansible']"
148,استخدام توسعه‌دهنده Back-end,Dosma,"['Python', 'Django', 'Git', 'Redis']"
149,استخدام Front-end Developer (MID-LEVEL),بیدُک,"['JavaScript', 'Vue.js', 'CSS', 'Node.js', 'ECMAScript 6']"
150,استخدام توسعه‌دهنده وردپرس,آرتین فناوران برخط,"['WordPress', 'CSS3', 'JavaScript', 'PHP', 'HTML5']"
151,استخدام Python/Django Developer,Quera,"['Python', 'Django', 'JavaScript', 'React', 'Linux']"
152,استخدام توسعه‌دهنده جاوا (Back-end),نادین سافت,"['Spring', 'MySQL', 'Oracle', 'Hibernate', 'Web Services']"
153,استخدام مدیر محصول(آقا),سیمرا,"['Google Analytics', 'Google Tag Manager']"
154,استخدام طراح ارشد محصول,سیمرا,['Figma']
155,استخدام توسعه‌دهنده فرانت- اند,کارآفرینی سرمایه پرداز نارون,"['JavaScript', 'HTML']"
156,استخدام It Support Engineer,Creative Partner Consulting,"['Networkx', 'Project Planning']"
157,استخدام Senior Back-end Developer (NodeJS),نارون,"['Node.js', 'MongoDB', 'Docker']"
158,استخدام کارشناس توسعه‌دهنده ESB,مسیرهوشمند یکپارچه,"['Elasticsearch', 'Zabbix']"
159,استخدام برنامه‌نویس React,سیمرا,"['React', 'TypeScript', 'Redux', 'React Hooks', 'Responsive']"
160,استخدام توسعه‌دهنده ++C/C,نآد,"['C++', 'Networking', 'Python', 'Operating System', 'Concurrent Programming']"
161,استخدام توسعه‌دهنده Python,بهسامان هوش افزار کوشا,"['Image Processing', 'Python', 'OpenCV', 'Cuda']"
162,استخدام توسعه‌دهنده Back-end,فناوری اطلاعات بشیر سبحان,"['Java', 'Spring']"
163,استخدام توسعه Back-end,پویش رایان داتیس,"['Pytorch', 'Django', 'Flask', 'FastAPI']"
164,استخدام کارشناس ارشد مانیتورینگ,توسعه ابزار بازار سرمایه,"['Prometheus', 'Zabbix']"
165,استخدام برنامه‌نویس Web Developer,شرکت داده ورزی فرادیس البرز,"['JavaScript', 'Java', 'HTML5', 'LINQ']"
166,استخدام Python Back-end Developer,TEXOOM,"['Python', 'Django', 'PostgreSQL', 'Scrapy']"
167,استخدام Python Developer,Exa DataScience Lab,"['Python', 'Git', 'NumPy', 'Apache Kafka', 'NoSQL']"
168,استخدام کارشناس هوشمندی تجاری,همکاران سیستم,"['Power BI', 'T-SQL', 'SSIS', 'SSAS', 'Data Warehouse']"
169,استخدام AngularJS Developer,اتصال یکپارچه,"['AngularJS', 'JavaScript']"
170,استخدام Senior Back-end Developer,درس افزار,"['PHP', 'Laravel', 'API', 'TDD']"
171,استخدام توسعه‌دهنده Back-end,سازمان برنامه و بودجه,"['C#', 'ASP.NET Core', 'SQL', 'OOP']"
172,استخدام Senior Software Engineer,توسعه سیستم توانا,"['Java', 'MySQL', 'Database', 'OOP', 'RabbitMQ']"
173,استخدام کارآموز بوت‌کمپ Golang,مپصا اچ آر,['Go']
174,استخدام (Java Developer-امریه دانش بنیان),آتیه داده پرداز,['Java']
175,استخدام کارشناس کنترل پروژه,پژوهشگاه توسعه فناوری‌های پیشرفته,['Power BI']
176,استخدام برنامه‌نویس (Front-end (ReactJS,پردازش اطلاعات شتاب,"['TypeScript', 'GraphQL', 'Apollo Client', 'React JSX', 'RESTful Architecture']"
177,استخدام برنامه‌نویس (Senior Back-end (ASP.NET,پردازش اطلاعات شتاب,"['ASP.NET MVC', '.NET Core', 'C#', 'Design Patterns', 'GraphQL']"
178,استخدام برنامه‌نویس و کارآموز وب,itteam,"['JavaScript', 'React', 'PHP', 'Django', 'WordPress']"
179,استخدام طراح UI/UX,Aseman Express,"['UI/UX', 'Figma', 'Photoshop']"
180,استخدام مدیر پروژه‌های نرم افزاری,جاپکو,"['Testing', 'Software Engineering', 'GitHub', 'Jira', 'Computer Science']"
181,استخدام Andriod Developer,کارنامه,"['Java', 'Kotlin']"
182,استخدام توسعه‌دهنده ارشد جاوا,پژوهشگاه توسعه فناوری‌های پیشرفته,"['Java', 'Spring', 'Docker', 'Framework7']"
183,"استخدام کارشناس ارشد DevOps ,SRE",پژوهشگاه توسعه فناوری‌های پیشرفته,"['DevOps', 'Python', 'Gitlab', 'Zabbix', 'Cicd']"
184,استخدام کارشناس شبکه (آقا),سیمرا,['Cisco']
185,استخدام کارشناس ارشد DevOps (آقا),سیمرا,"['Kubernetes', 'Persistent Storage', 'Go', 'Automation', 'High Availability']"
186,استخدام توسعه‌دهنده Back-end,چارگون,"['C#', 'SQL Server', 'Git', 'OOP', 'TFS']"
187,استخدام توسعه‌دهنده ارشد Front-end,استودیو پایدار,"['Vue.js', 'JavaScript', 'Nuxt.js']"
188,استخدام توسعه‌دهنده ارشد Back-end,استودیو پایدار,"['Laravel', 'Node.js', 'MongoDB', 'RabbitMQ']"
189,استخدام توسعه‌دهنده سخت‌افزار( RTL ),نآد,"['Verilog', 'Fpga', 'C++', 'Git']"
190,استخدام DevOps (SRE) Engineer,Exa DataScience Lab,"['Python', 'Kubernetes', 'Docker', 'Microservices', 'Gitlab CI']"
191,استخدام data Engineer,Exa DataScience Lab,"['Python', 'Docker', 'Elasticsearch', 'NoSQL']"
192,استخدام برنامه‌نویس فرانت اند,پردازشگران پترو هوشمند,"['Angular', 'TypeScript', 'JavaScript', 'Node.js', 'React']"
193,استخدام توسعه‌دهنده Back-end,نیلوا,"['Django', 'Back-end', 'Python', 'SQL', 'NoSQL']"
194,استخدام Senior Front-end Developer,چارگون,"['React', 'JavaScript', 'HTML5', 'CSS3', 'Sass']"
195,استخدام Front-end Developer (React),نوید تیمچه تجارت نیل,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']"
196,استخدام مدیر فنی پروژه برنامه‌نویسی,پیشروتک صدرایزد,"['Analysis', 'Scrum', 'SQL']"
197,استخدام توسعه‌دهنده PHP (senior),آیریک,"['PHP', 'Yii2', 'MySQL', 'Front-end', 'Back-end']"
